frequency_mhz,symbol_rate_msps,power_dbm,noise_hex,noise_dec,locked,esno_db
950,0.5,-60,0X1C000,114688,True,33.59
950,0.5,-60,0X1C008,114696,True,34.18
950,0.5,-60,0X1C010,114704,True,33.5
950,0.5,-60,0X1C018,114712,True,32.66
950,0.5,-60,0X1C020,114720,True,31.68
950,0.5,-60,0X1C028,114728,True,30.68
950,0.5,-60,0X1C030,114736,True,29.67
950,0.5,-60,0X1C038,114744,True,28.76
950,0.5,-60,0X1C040,114752,True,27.94
950,0.5,-60,0X1C048,114760,True,27.14
950,0.5,-60,0X1C050,114768,True,26.35
950,0.5,-60,0X1C058,114776,True,25.61
950,0.5,-60,0X1C060,114784,True,25.01
950,0.5,-60,0X1C068,114792,True,24.37
950,0.5,-60,0X1C070,114800,True,23.8
950,0.5,-60,0X1C078,114808,True,23.24
950,0.5,-60,0X1C080,114816,True,22.75
950,0.5,-60,0X1C088,114824,True,22.2
950,0.5,-60,0X1C090,114832,True,21.75
950,0.5,-60,0X1C098,114840,True,21.3
950,0.5,-60,0X1C0A0,114848,True,20.89
950,0.5,-60,0X1C0A8,114856,True,20.49
950,0.5,-60,0X1C0B0,114864,True,20.15
950,0.5,-60,0X1C0B8,114872,True,19.73
950,0.5,-60,0X1C0C0,114880,True,19.41
950,0.5,-60,0X1C0C8,114888,True,19.03
950,0.5,-60,0X1C0D0,114896,True,18.73
950,0.5,-60,0X1C0D8,114904,True,18.37
950,0.5,-60,0X1C0E0,114912,True,18.1
950,0.5,-60,0X1C0E8,114920,True,17.79
950,0.5,-60,0X1C0F0,114928,True,17.48
950,0.5,-60,0X1C0F8,114936,True,17.16
950,0.5,-60,0X1C100,114944,True,16.89
950,0.5,-60,0X1C108,114952,True,16.66
950,0.5,-60,0X1C110,114960,True,16.36
950,0.5,-60,0X1C118,114968,True,16.12
950,0.5,-60,0X1C120,114976,True,15.86
950,0.5,-60,0X1C128,114984,True,15.62
950,0.5,-60,0X1C130,114992,True,15.35
950,0.5,-60,0X1C138,115000,True,15.12
950,0.5,-60,0X1C140,115008,True,14.92
950,0.5,-60,0X1C148,115016,True,14.67
950,0.5,-60,0X1C150,115024,True,14.47
950,0.5,-60,0X1C158,115032,True,14.26
950,0.5,-60,0X1C160,115040,True,14.03
950,0.5,-60,0X1C168,115048,True,13.84
